"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4346863281","linkedin","https://www.linkedin.com/jobs/view/4346863281","","Designer - REMOTE LOCATION","Lensa","","","","","","","","",True,"","","","","","","https://www.linkedin.com/company/lensa","","","","","","","","","","","",""
"li-4346901514","linkedin","https://www.linkedin.com/jobs/view/4346901514","","Design Lead, Design Systems - US Remote","Lensa","Seattle, WA","","","","","","","",True,"","","","","","","https://www.linkedin.com/company/lensa","","","","","","","","","","","",""
"li-4346845577","linkedin","https://www.linkedin.com/jobs/view/4346845577","","Design Lead, Design Systems - US Remote","Lensa","New York, NY","","","","","","","",True,"","","","","","","https://www.linkedin.com/company/lensa","","","","","","","","","","","",""
